,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
82,39,No,non-travel,1032.49,,3,3,life sciences,1,83,1,M,,3,3,sales executive,3,divorced,8339.32,21682.23,0,,12,3.0,3,full time,2,,6,2.0,16,,5,13,8339.32,1985,,,,False
83,30,No,travel_frequently,1032.49,,1,1,,1,84,2,F,,3,3,sales executive,4,married,8339.32,21682.23,1,,14,3.0,4,part time,1,11.0,5,3.0,11,,4,1,8339.32,1994,100071.84,,,True
84,56,No,travel_rarely,1964.96,,1,3,medical,1,85,4,M,245.6200396825397,3,5,manager,1,single,15870.83,41264.17,0,,14,3.0,3,full time,0,37.0,2,3.0,36,,4,13,15870.83,1968,190450.0,,,False
85,42,No,non-travel,1652.34,,10,4,,1,86,4,M,,3,4,manager,2,,13345.83,34699.17,1,,19,3.0,2,full time,0,,2,3.0,22,,0,4,13345.83,1982,,,,True
86,40,No,travel_rarely,991.82,research & development,1,3,,1,87,3,M,123.97718253968254,4,3,healthcare representative,4,,8010.83,20828.17,0,No,17,,1,part time,3,19.0,5,2.0,18,,3,7,8010.83,1984,96130.0,healthcare representative  -  research & development,,True
87,39,No,non-travel,1187.54,,15,2,life sciences,1,88,3,M,148.44246031746033,2,3,research director,4,,,24938.33,0,,14,3.0,2,full time,1,,3,3.0,11,,2,9,,1985,115100.0,,,False
88,44,No,non-travel,1582.77,,12,3,,1,89,1,M,,2,4,research director,2,,12783.92,33238.2,1,No,11,3.0,3,full time,1,,3,,25,,3,9,12783.92,1980,153407.07,,,True
89,32,No,non-travel,444.27,,30,2,,1,90,2,F,,3,2,manufacturing director,1,married,3588.33,9329.67,1,No,12,3.0,2,full time,1,13.0,5,1.0,13,,3,12,3588.33,1992,,,,True
90,51,No,travel_rarely,1758.71,research & development,27,4,life sciences,1,91,2,M,,2,4,manager,3,marreid,14205.0,36933.0,0,No,15,3.0,2,full time,1,28.0,2,3.0,27,,15,7,14205.0,1973,170460.0,manager  -  research & development,,True
91,36,No,non-travel,1032.49,,25,3,technical degree,1,92,4,M,129.06091077207583,2,3,manufacturing director,2,married,8339.32,21682.23,3,No,16,,1,part time,0,,2,3.0,13,,4,8,8339.32,1988,100071.84,,,True
92,48,No,non-travel,522.79,,16,4,,1,93,3,M,,4,2,manufacturing director,3,,4222.5,10978.5,1,Yes,19,3.0,3,full time,0,20.0,3,,19,,2,7,4222.5,1976,,,,True
93,36,No,non-travel,1032.49,research & development,25,4,,1,94,3,F,129.06091077207583,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,Yes,11,,3,part time,1,,3,2.0,16,,10,1,8339.32,1988,100071.84,healthcare representative  -  research & development,,False
94,41,No,travel_rarely,1032.49,,20,4,,1,95,1,M,129.06091077207583,3,3,healthcare representative,4,married,,21682.23,4,,20,4.0,4,part time,1,14.0,6,3.0,11,,11,1,,1983,100071.84,,,False
95,46,No,non-travel,556.26,sales,9,4,life sciences,1,96,2,F,,2,2,sales executive,3,married,4492.84,11681.39,1,,13,3.0,4,part time,1,15.0,2,3.0,15,,4,12,4492.84,1978,53914.11,sales executive  -  sales,,True
96,34,No,non-travel,290.04,research & development,9,3,medical,1,97,1,M,,3,1,research scientist,4,married,,6090.75,0,,13,3.0,2,full time,1,15.0,5,3.0,14,,4,10,,1990,28111.13,research scientist  -  research & development,,False
97,37,No,travel_frequently,380.92,,3,3,,1,98,3,M,,3,1,research scientist,2,married,3076.67,7999.33,1,No,12,3.0,3,full time,0,12.0,2,2.0,11,,0,7,3076.67,1987,36920.0,,,False
98,46,Yes,non-travel,1973.98,,13,3,marketing,1,99,1,F,246.74801587301585,1,5,manager,2,,15943.72,41453.67,2,Yes,16,3.0,1,full time,0,26.0,2,3.0,24,,1,11,15943.72,1978,191324.62,,,True
99,52,No,travel_frequently,2047.71,,27,3,,1,100,2,M,255.96329365079364,3,5,manager,2,,,43001.83,4,Yes,24,,1,full time,1,,5,2.0,29,,11,10,,1972,198470.0,,,True
100,35,No,travel_rarely,238.13,,7,2,technical degree,1,101,2,M,,3,1,sales representative,3,,,5000.67,0,Yes,25,4.0,2,part time,1,12.0,4,3.0,11,,5,7,,1989,23080.0,,,True
101,44,No,travel_rarely,1582.77,research & development,15,2,,1,102,3,M,,2,4,research director,3,,,33238.2,1,No,24,4.0,1,full time,1,,3,3.0,14,,6,11,,1980,153407.07,research director  -  research & development,,False
102,35,No,non-travel,556.26,,5,2,medical,1,103,2,M,,2,2,laboratory technician,4,,4492.84,11681.39,1,No,14,3.0,3,part time,1,,3,,15,,4,13,4492.84,1989,53914.11,,,True
103,39,No,non-travel,290.04,,2,3,,1,104,1,M,,3,1,human resources,2,divorced,2342.59,6090.75,5,No,13,3.0,4,part time,3,13.0,3,3.0,11,,3,8,2342.59,1985,28111.13,,,False
104,49,No,non-travel,1973.98,,10,3,,1,105,4,M,,2,5,research director,2,,,41453.67,4,No,12,3.0,4,full time,0,29.0,3,3.0,22,,12,9,,1975,191324.62,,,True
105,35,No,non-travel,592.94,research & development,22,4,other,1,106,3,M,,2,2,research scientist,4,married,4789.17,12451.83,1,Yes,15,3.0,2,full time,0,16.0,3,3.0,15,,6,11,4789.17,1989,57470.0,research scientist  -  research & development,,False
106,33,No,travel_rarely,1075.29,,31,4,,1,107,3,F,134.41071428571428,3,3,sales executive,4,,8685.0,22581.0,1,No,19,3.0,3,full time,2,14.0,3,3.0,14,,5,7,8685.0,1991,104220.0,,,True
107,30,No,travel_rarely,1032.49,,21,4,life sciences,1,108,2,F,,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,No,11,3.0,3,full time,1,10.0,1,3.0,10,,8,8,8339.32,1994,,,,True
108,47,No,non-travel,1032.49,,1,3,medical,1,109,3,M,,2,3,healthcare representative,1,married,,21682.23,2,Yes,13,3.0,3,full time,1,21.0,5,2.0,10,,9,5,,1977,100071.84,,,False
109,31,No,non-travel,654.85,human resources,9,3,,1,110,3,M,,3,2,human resources,4,married,5289.17,13751.83,0,Yes,19,3.0,4,full time,0,,2,1.0,11,,4,7,5289.17,1993,63470.0,human resources  -  human resources,,True
110,46,No,non-travel,242.25,,9,3,life sciences,1,111,2,M,,3,2,laboratory technician,2,,1956.67,5087.33,8,No,18,3.0,3,part time,1,20.0,2,,17,,0,15,1956.67,1978,23480.0,,,True
111,31,No,travel_rarely,1032.49,,5,3,,1,112,2,F,129.06091077207583,3,3,sales executive,4,,8339.32,21682.23,2,No,12,3.0,3,part time,1,,2,3.0,10,,7,4,8339.32,1993,100071.84,,,True
112,31,No,non-travel,316.95,,9,3,,1,113,3,M,,3,2,laboratory technician,1,,,6656.0,1,No,11,,3,part time,2,12.0,4,3.0,12,,6,10,,1993,30720.0,,,True
113,35,No,travel_frequently,556.26,,29,1,,1,114,4,M,,2,2,manufacturing director,3,married,4492.84,11681.39,1,,17,3.0,3,full time,0,10.0,2,2.0,10,,1,9,4492.84,1989,,,,False
114,52,No,travel_rarely,1288.65,,8,4,life sciences,1,115,2,M,,2,3,research director,2,married,10408.33,27061.67,5,No,16,3.0,4,full time,2,16.0,5,1.0,10,,4,7,10408.33,1972,124900.0,,,True
115,35,No,non-travel,556.26,,39,4,life sciences,1,116,3,M,69.53208262471655,2,2,manufacturing director,1,,4492.84,11681.39,6,,13,3.0,2,part time,1,13.0,3,3.0,11,,5,9,4492.84,1989,53914.11,,,False
116,36,No,travel_rarely,827.46,,16,3,,1,117,3,M,,3,3,sales executive,2,married,6683.33,17376.67,0,,15,3.0,3,part time,2,12.0,3,2.0,11,,6,9,6683.33,1988,80200.0,,,False
117,46,No,travel_frequently,1032.49,,7,3,life sciences,1,118,1,M,,3,3,laboratory technician,1,,8339.32,21682.23,1,,18,3.0,1,part time,1,24.0,2,3.0,24,,9,11,8339.32,1978,100071.84,,,True
118,40,No,non-travel,1760.98,,10,1,,1,119,3,M,,3,4,manager,1,married,,36980.67,1,,14,,4,full time,0,21.0,3,3.0,21,,11,10,,1984,170680.0,,,True
119,32,No,non-travel,922.69,,7,2,,1,120,3,F,,2,3,manufacturing director,3,married,7452.5,19376.5,1,No,24,4.0,1,part time,1,10.0,2,3.0,10,,8,9,7452.5,1992,89430.0,,,False
120,40,No,non-travel,1988.38,research & development,7,2,,1,121,3,M,,2,5,manager,4,married,16060.0,41756.0,1,,15,3.0,1,full time,1,,2,3.0,21,,13,3,16060.0,1984,192720.0,manager  -  research & development,,True
121,46,No,travel_rarely,556.26,,8,4,,1,122,4,M,69.53208262471655,3,2,research scientist,4,,4492.84,11681.39,9,No,14,3.0,1,part time,2,12.0,3,3.0,10,,9,8,4492.84,1978,53914.11,,,True
122,31,No,travel_rarely,556.26,sales,5,3,marketing,1,123,4,F,,2,2,sales executive,3,,4492.84,11681.39,1,,13,3.0,3,full time,3,10.0,2,3.0,10,,1,2,4492.84,1993,,sales executive  -  sales,,True
123,32,No,non-travel,1032.49,,7,4,medical,1,124,3,F,129.06091077207583,3,3,manufacturing director,4,,8339.32,21682.23,1,,14,3.0,3,part time,0,11.0,2,2.0,11,,4,10,8339.32,1992,100071.84,,,False
124,37,No,non-travel,1032.49,,3,4,medical,1,125,1,M,,2,3,sales executive,4,married,8339.32,21682.23,4,No,11,3.0,1,part time,1,16.0,2,3.0,13,,1,12,8339.32,1987,100071.84,,,True
125,37,No,travel_rarely,1032.49,,2,2,,1,126,2,M,,2,3,sales executive,3,married,,21682.23,1,,13,3.0,2,part time,2,10.0,2,3.0,10,,9,0,,1987,100071.84,,,True
