,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,remotework
35,47,No,travel_rarely,1032.5,desconocido,1,2,desconocido,1,36,2,False,129.1,3,3,sales executive,1,divorced,8339.32,21682.23,1,No,25,4.0,3,part time,3,24.0,2,3.0,24,15,7,8339.32,1977,100071.84,desconocido,True
36,44,No,non-travel,1657.4,desconocido,16,3,desconocido,1,37,4,False,207.2,3,4,manager,4,married,,34805.33,5,Desconocido,22,4.0,3,full time,1,22.0,3,3.0,17,1,9,,1980,160640.0,desconocido,False
37,37,No,non-travel,331.2,research & development,6,3,life sciences,1,38,4,True,41.4,3,1,laboratory technician,4,married,2675.0,6955.0,0,Desconocido,11,3.0,3,full time,1,16.0,4,3.0,15,10,11,2675.0,1987,32100.0,laboratory technician  -  research & development,True
38,61,No,travel_frequently,1059.2,desconocido,28,3,desconocido,1,39,3,False,132.4,2,3,sales executive,1,married,8555.0,22243.0,4,No,19,3.0,4,full time,0,22.0,5,4.0,18,13,11,8555.0,1963,102660.0,desconocido,False
39,41,No,travel_frequently,1080.8,desconocido,5,4,desconocido,1,40,4,True,135.1,2,3,sales executive,1,married,8729.17,22695.83,5,Yes,21,4.0,3,full time,1,20.0,2,3.0,18,1,12,8729.17,1983,104750.0,desconocido,True
40,33,No,travel_rarely,635.8,desconocido,4,3,desconocido,1,41,3,False,79.5,2,2,manufacturing director,3,married,,13351.0,1,No,12,3.0,3,full time,1,14.0,3,3.0,14,6,8,,1991,61620.0,desconocido,True
41,42,No,travel_rarely,487.1,desconocido,35,3,desconocido,1,42,3,True,60.9,3,1,laboratory technician,1,single,3934.17,10228.83,2,Yes,13,,3,full time,0,20.0,3,3.0,18,2,17,3934.17,1982,47210.0,desconocido,False
42,54,No,non-travel,1582.8,desconocido,2,2,medical,1,43,3,True,197.8,3,4,manager,3,divorced,12783.92,33238.2,6,No,13,3.0,3,full time,1,22.0,3,4.0,17,15,2,12783.92,1970,153407.07,desconocido,False
43,37,Yes,travel_rarely,290.0,desconocido,16,4,desconocido,1,44,3,False,36.3,4,1,laboratory technician,1,single,,6090.75,1,Desconocido,16,3.0,3,part time,0,18.0,1,3.0,17,15,14,,1987,28111.13,desconocido,True
44,47,No,non-travel,476.2,desconocido,8,4,life sciences,1,45,4,False,59.5,2,2,research scientist,1,divorced,3845.83,9999.17,8,Yes,23,4.0,1,part time,3,,2,3.0,16,1,7,3845.83,1977,46150.0,desconocido,True
45,39,No,travel_rarely,556.3,desconocido,1,4,desconocido,1,46,4,True,69.5,3,2,sales executive,2,married,4492.84,11681.39,0,No,15,3.0,1,full time,2,16.0,3,,15,5,8,4492.84,1985,53914.11,desconocido,False
46,52,No,non-travel,1032.5,desconocido,1,4,desconocido,1,47,1,False,129.1,2,3,healthcare representative,1,single,8339.32,21682.23,3,Desconocido,20,4.0,3,part time,0,23.0,1,2.0,13,12,8,8339.32,1972,100071.84,desconocido,True
47,44,No,non-travel,1749.7,desconocido,26,2,desconocido,1,48,3,True,218.7,3,4,manager,4,married,14132.5,36744.5,1,Yes,12,3.0,4,full time,2,25.0,3,4.0,25,4,12,14132.5,1980,169590.0,desconocido,False
48,38,No,non-travel,290.0,desconocido,1,3,life sciences,1,49,4,False,36.3,3,1,research scientist,4,single,,6090.75,1,No,12,3.0,2,part time,0,,3,3.0,17,5,7,,1986,28111.13,desconocido,True
49,33,No,travel_rarely,556.3,desconocido,8,2,technical degree,1,50,3,False,69.5,2,2,sales executive,2,married,,11681.39,1,Yes,11,3.0,4,part time,0,,2,3.0,13,11,9,,1991,53914.11,desconocido,True
50,39,No,non-travel,1032.5,desconocido,1,3,desconocido,1,51,4,False,129.1,3,3,research director,1,married,8339.32,21682.23,1,Desconocido,13,3.0,2,part time,1,15.0,3,3.0,15,5,11,8339.32,1985,100071.84,desconocido,False
51,47,No,non-travel,1582.8,desconocido,3,3,life sciences,1,52,3,False,197.8,3,4,manager,2,desconocido,12783.92,33238.2,8,No,12,3.0,4,full time,1,23.0,2,4.0,13,5,1,12783.92,1977,153407.07,desconocido,True
52,36,Yes,travel_rarely,1063.3,desconocido,10,3,medical,1,53,4,True,132.9,2,3,sales executive,1,married,8588.33,22329.67,9,Desconocido,17,3.0,3,full time,0,15.0,3,,13,6,0,8588.33,1988,,desconocido,True
53,44,No,non-travel,1974.0,desconocido,6,3,medical,1,54,1,False,246.7,2,5,manager,3,married,15943.72,41453.67,7,No,13,3.0,4,full time,0,21.0,2,3.0,16,6,14,15943.72,1980,,desconocido,True
54,57,No,non-travel,556.3,desconocido,1,4,life sciences,1,55,3,True,69.5,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,No,21,,1,full time,1,,2,2.0,13,1,9,4492.84,1967,,desconocido,True
55,37,No,non-travel,557.8,desconocido,15,4,marketing,1,56,4,True,69.7,1,2,sales executive,4,divorced,4505.0,11713.0,1,No,24,4.0,1,full time,1,,4,2.0,15,11,11,4505.0,1987,54060.0,desconocido,False
56,39,No,non-travel,556.3,desconocido,6,3,medical,1,57,2,False,69.5,1,2,research scientist,4,desconocido,,11681.39,7,Desconocido,12,3.0,4,part time,3,17.0,3,3.0,13,1,9,,1985,53914.11,desconocido,True
57,50,No,non-travel,556.3,desconocido,26,4,medical,1,58,3,False,69.5,3,2,manufacturing director,1,desconocido,,11681.39,1,No,14,3.0,3,part time,0,16.0,2,2.0,15,5,11,,1974,53914.11,desconocido,True
58,40,No,travel_rarely,608.9,desconocido,4,4,life sciences,1,59,4,False,76.1,2,2,sales executive,3,married,4918.33,12787.67,4,Desconocido,14,3.0,3,full time,1,17.0,1,4.0,15,5,9,4918.33,1984,59020.0,desconocido,True
59,41,No,non-travel,1120.0,desconocido,4,4,desconocido,1,60,3,True,140.0,2,3,sales executive,4,married,,23519.17,7,No,11,,1,full time,1,15.0,2,2.0,12,2,11,,1983,108550.0,desconocido,True
60,37,No,non-travel,610.2,desconocido,5,2,desconocido,1,61,4,True,76.3,3,2,laboratory technician,2,single,4928.33,12813.67,8,No,16,3.0,4,full time,0,16.0,3,4.0,13,3,7,4928.33,1987,59140.0,desconocido,False
61,38,No,non-travel,556.3,desconocido,25,5,desconocido,1,62,2,False,69.5,3,2,research scientist,3,married,,11681.39,3,Yes,15,3.0,1,full time,2,15.0,2,3.0,13,10,7,,1986,53914.11,desconocido,True
62,36,No,non-travel,685.7,desconocido,6,4,desconocido,1,63,2,True,85.7,1,2,research scientist,4,desconocido,5538.33,14399.67,1,Desconocido,13,3.0,2,full time,0,,3,3.0,17,11,8,5538.33,1988,66460.0,desconocido,True
63,34,No,travel_frequently,556.3,desconocido,6,3,life sciences,1,64,3,True,69.5,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,No,23,4.0,3,part time,1,15.0,2,1.0,13,4,7,4492.84,1990,53914.11,desconocido,False
64,51,No,travel_rarely,1441.7,research & development,24,3,desconocido,1,65,4,True,180.2,3,4,manufacturing director,3,married,,30274.83,3,Yes,18,3.0,4,full time,1,22.0,2,3.0,12,1,5,,1973,139730.0,manufacturing director  -  research & development,False
65,49,No,travel_rarely,1032.5,desconocido,4,4,desconocido,1,66,3,True,129.1,2,3,healthcare representative,3,single,,21682.23,7,Desconocido,14,,2,part time,0,27.0,3,3.0,15,4,8,,1975,100071.84,desconocido,True
66,45,No,travel_rarely,1374.3,sales,28,3,desconocido,1,67,4,False,171.8,4,4,sales executive,4,married,11100.0,28860.0,3,Desconocido,18,3.0,3,full time,1,,2,3.0,12,11,11,11100.0,1979,,sales executive  -  sales,False
67,45,No,travel_rarely,556.3,desconocido,29,4,desconocido,1,68,4,True,69.5,3,2,research scientist,4,single,,11681.39,1,Desconocido,25,4.0,2,part time,0,,3,3.0,20,13,17,,1979,53914.11,desconocido,True
68,41,No,non-travel,556.3,desconocido,25,1,desconocido,1,69,2,False,69.5,4,2,healthcare representative,3,desconocido,,11681.39,5,No,20,4.0,2,part time,3,15.0,0,3.0,12,11,8,,1983,53914.11,desconocido,True
69,35,No,travel_rarely,689.9,desconocido,2,4,desconocido,1,70,3,False,86.2,3,2,healthcare representative,4,single,5572.5,14488.5,1,Desconocido,11,3.0,4,full time,0,14.0,2,4.0,14,4,11,5572.5,1989,66870.0,desconocido,True
70,36,No,non-travel,556.3,research & development,8,4,desconocido,1,71,3,False,69.5,3,2,healthcare representative,3,desconocido,4492.84,11681.39,1,Desconocido,12,3.0,4,part time,1,,5,3.0,14,2,9,4492.84,1988,53914.11,healthcare representative  -  research & development,True
71,51,No,non-travel,1032.5,desconocido,17,5,life sciences,1,72,4,False,129.1,2,3,research director,1,desconocido,,21682.23,5,No,15,3.0,3,part time,3,,3,3.0,14,1,11,,1973,100071.84,desconocido,True
72,50,No,non-travel,1582.8,desconocido,6,1,life sciences,1,73,3,False,197.8,2,4,healthcare representative,3,desconocido,12783.92,33238.2,2,Desconocido,19,3.0,2,full time,1,,3,3.0,15,2,12,12783.92,1974,153407.07,desconocido,True
73,39,No,travel_frequently,488.5,desconocido,1,3,life sciences,1,74,4,True,61.1,3,2,research scientist,4,desconocido,,10259.17,7,No,15,3.0,4,part time,2,19.0,4,,13,2,9,,1985,47350.0,desconocido,True
74,34,No,non-travel,290.0,desconocido,21,3,desconocido,1,75,2,True,36.3,4,1,laboratory technician,2,desconocido,,6090.75,1,No,18,3.0,4,part time,3,14.0,6,,14,2,13,,1990,28111.13,desconocido,True
75,48,No,travel_rarely,1032.5,desconocido,4,3,life sciences,1,76,3,False,129.1,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,Yes,12,,3,part time,1,,4,3.0,22,14,10,8339.32,1976,100071.84,desconocido,True
76,39,No,non-travel,556.3,research & development,8,3,desconocido,1,77,4,False,69.5,2,2,research scientist,2,divorced,4492.84,11681.39,1,Desconocido,16,3.0,3,full time,1,20.0,3,3.0,20,0,7,4492.84,1985,,research scientist  -  research & development,True
77,38,No,travel_rarely,1032.5,desconocido,10,3,life sciences,1,78,3,False,129.1,4,3,research director,4,desconocido,8339.32,21682.23,1,Yes,25,4.0,1,part time,1,16.0,2,3.0,16,6,8,8339.32,1986,100071.84,desconocido,True
78,31,No,non-travel,556.3,desconocido,2,3,desconocido,1,79,3,True,69.5,2,2,healthcare representative,4,married,,11681.39,1,No,19,,1,part time,3,11.0,3,3.0,11,10,8,,1993,53914.11,desconocido,True
79,59,No,travel_rarely,1431.2,desconocido,18,4,desconocido,1,80,4,True,178.9,3,4,sales executive,3,single,11560.0,30056.0,0,Desconocido,13,3.0,3,full time,0,38.0,1,2.0,37,1,8,11560.0,1965,138720.0,desconocido,False
80,35,No,travel_rarely,1032.5,desconocido,5,3,desconocido,1,81,3,False,129.1,2,3,manager,1,single,8339.32,21682.23,2,Desconocido,12,3.0,4,full time,0,14.0,6,3.0,11,5,8,8339.32,1989,,desconocido,True
81,59,Yes,travel_rarely,1032.5,desconocido,23,4,medical,1,82,4,False,129.1,3,3,healthcare representative,4,married,8339.32,21682.23,1,Desconocido,12,3.0,4,part time,1,40.0,3,2.0,40,15,6,8339.32,1965,100071.84,desconocido,True
82,39,No,non-travel,1032.5,desconocido,3,3,life sciences,1,83,1,True,129.1,3,3,sales executive,3,divorced,8339.32,21682.23,0,Desconocido,12,3.0,3,full time,2,,6,2.0,16,5,13,8339.32,1985,,desconocido,False
83,30,No,travel_frequently,1032.5,desconocido,1,1,desconocido,1,84,2,False,129.1,3,3,sales executive,4,married,8339.32,21682.23,1,Desconocido,14,3.0,4,part time,1,11.0,5,3.0,11,4,1,8339.32,1994,100071.84,desconocido,True
84,56,No,travel_rarely,1965.0,desconocido,1,3,medical,1,85,4,True,245.6,3,5,manager,1,single,15870.83,41264.17,0,Desconocido,14,3.0,3,full time,0,37.0,2,3.0,36,4,13,15870.83,1968,190450.0,desconocido,False
85,42,No,non-travel,1652.3,desconocido,10,4,desconocido,1,86,4,True,206.5,3,4,manager,2,desconocido,13345.83,34699.17,1,Desconocido,19,3.0,2,full time,0,,2,3.0,22,0,4,13345.83,1982,,desconocido,True
86,40,No,travel_rarely,991.8,research & development,1,3,desconocido,1,87,3,True,124.0,4,3,healthcare representative,4,desconocido,8010.83,20828.17,0,No,17,,1,part time,3,19.0,5,2.0,18,3,7,8010.83,1984,96130.0,healthcare representative  -  research & development,True
87,39,No,non-travel,1187.5,desconocido,15,2,life sciences,1,88,3,True,148.4,2,3,research director,4,desconocido,,24938.33,0,Desconocido,14,3.0,2,full time,1,,3,3.0,11,2,9,,1985,115100.0,desconocido,False
88,44,No,non-travel,1582.8,desconocido,12,3,desconocido,1,89,1,True,197.8,2,4,research director,2,desconocido,12783.92,33238.2,1,No,11,3.0,3,full time,1,,3,,25,3,9,12783.92,1980,153407.07,desconocido,True
89,32,No,non-travel,444.3,desconocido,30,2,desconocido,1,90,2,False,55.5,3,2,manufacturing director,1,married,3588.33,9329.67,1,No,12,3.0,2,full time,1,13.0,5,1.0,13,3,12,3588.33,1992,,desconocido,True
90,51,No,travel_rarely,1758.7,research & development,27,4,life sciences,1,91,2,True,219.8,2,4,manager,3,marreid,14205.0,36933.0,0,No,15,3.0,2,full time,1,28.0,2,3.0,27,15,7,14205.0,1973,170460.0,manager  -  research & development,True
91,36,No,non-travel,1032.5,desconocido,25,3,technical degree,1,92,4,True,129.1,2,3,manufacturing director,2,married,8339.32,21682.23,3,No,16,,1,part time,0,,2,3.0,13,4,8,8339.32,1988,100071.84,desconocido,True
92,48,No,non-travel,522.8,desconocido,16,4,desconocido,1,93,3,True,65.3,4,2,manufacturing director,3,desconocido,4222.5,10978.5,1,Yes,19,3.0,3,full time,0,20.0,3,,19,2,7,4222.5,1976,,desconocido,True
93,36,No,non-travel,1032.5,research & development,25,4,desconocido,1,94,3,False,129.1,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,Yes,11,,3,part time,1,,3,2.0,16,10,1,8339.32,1988,100071.84,healthcare representative  -  research & development,False
94,41,No,travel_rarely,1032.5,desconocido,20,4,desconocido,1,95,1,True,129.1,3,3,healthcare representative,4,married,,21682.23,4,Desconocido,20,4.0,4,part time,1,14.0,6,3.0,11,11,1,,1983,100071.84,desconocido,False
95,46,No,non-travel,556.3,sales,9,4,life sciences,1,96,2,False,69.5,2,2,sales executive,3,married,4492.84,11681.39,1,Desconocido,13,3.0,4,part time,1,15.0,2,3.0,15,4,12,4492.84,1978,53914.11,sales executive  -  sales,True
96,34,No,non-travel,290.0,research & development,9,3,medical,1,97,1,True,36.3,3,1,research scientist,4,married,,6090.75,0,Desconocido,13,3.0,2,full time,1,15.0,5,3.0,14,4,10,,1990,28111.13,research scientist  -  research & development,False
97,37,No,travel_frequently,380.9,desconocido,3,3,desconocido,1,98,3,True,47.6,3,1,research scientist,2,married,3076.67,7999.33,1,No,12,3.0,3,full time,0,12.0,2,2.0,11,0,7,3076.67,1987,36920.0,desconocido,False
98,46,Yes,non-travel,1974.0,desconocido,13,3,marketing,1,99,1,False,246.7,1,5,manager,2,desconocido,15943.72,41453.67,2,Yes,16,3.0,1,full time,0,26.0,2,3.0,24,1,11,15943.72,1978,191324.62,desconocido,True
99,52,No,travel_frequently,2047.7,desconocido,27,3,desconocido,1,100,2,True,256.0,3,5,manager,2,desconocido,,43001.83,4,Yes,24,,1,full time,1,,5,2.0,29,11,10,,1972,198470.0,desconocido,True
100,35,No,travel_rarely,238.1,desconocido,7,2,technical degree,1,101,2,True,29.8,3,1,sales representative,3,desconocido,,5000.67,0,Yes,25,4.0,2,part time,1,12.0,4,3.0,11,5,7,,1989,23080.0,desconocido,True
101,44,No,travel_rarely,1582.8,research & development,15,2,desconocido,1,102,3,True,197.8,2,4,research director,3,desconocido,,33238.2,1,No,24,4.0,1,full time,1,,3,3.0,14,6,11,,1980,153407.07,research director  -  research & development,False
102,35,No,non-travel,556.3,desconocido,5,2,medical,1,103,2,True,69.5,2,2,laboratory technician,4,desconocido,4492.84,11681.39,1,No,14,3.0,3,part time,1,,3,,15,4,13,4492.84,1989,53914.11,desconocido,True
103,39,No,non-travel,290.0,desconocido,2,3,desconocido,1,104,1,True,36.3,3,1,human resources,2,divorced,2342.59,6090.75,5,No,13,3.0,4,part time,3,13.0,3,3.0,11,3,8,2342.59,1985,28111.13,desconocido,False
104,49,No,non-travel,1974.0,desconocido,10,3,desconocido,1,105,4,True,246.7,2,5,research director,2,desconocido,,41453.67,4,No,12,3.0,4,full time,0,29.0,3,3.0,22,12,9,,1975,191324.62,desconocido,True
105,35,No,non-travel,592.9,research & development,22,4,other,1,106,3,True,74.1,2,2,research scientist,4,married,4789.17,12451.83,1,Yes,15,3.0,2,full time,0,16.0,3,3.0,15,6,11,4789.17,1989,57470.0,research scientist  -  research & development,False
106,33,No,travel_rarely,1075.3,desconocido,31,4,desconocido,1,107,3,False,134.4,3,3,sales executive,4,desconocido,8685.0,22581.0,1,No,19,3.0,3,full time,2,14.0,3,3.0,14,5,7,8685.0,1991,104220.0,desconocido,True
107,30,No,travel_rarely,1032.5,desconocido,21,4,life sciences,1,108,2,False,129.1,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,No,11,3.0,3,full time,1,10.0,1,3.0,10,8,8,8339.32,1994,,desconocido,True
108,47,No,non-travel,1032.5,desconocido,1,3,medical,1,109,3,True,129.1,2,3,healthcare representative,1,married,,21682.23,2,Yes,13,3.0,3,full time,1,21.0,5,2.0,10,9,5,,1977,100071.84,desconocido,False
109,31,No,non-travel,654.8,human resources,9,3,desconocido,1,110,3,True,81.9,3,2,human resources,4,married,5289.17,13751.83,0,Yes,19,3.0,4,full time,0,,2,1.0,11,4,7,5289.17,1993,63470.0,human resources  -  human resources,True
110,46,No,non-travel,242.3,desconocido,9,3,life sciences,1,111,2,True,30.3,3,2,laboratory technician,2,desconocido,1956.67,5087.33,8,No,18,3.0,3,part time,1,20.0,2,,17,0,15,1956.67,1978,23480.0,desconocido,True
111,31,No,travel_rarely,1032.5,desconocido,5,3,desconocido,1,112,2,False,129.1,3,3,sales executive,4,desconocido,8339.32,21682.23,2,No,12,3.0,3,part time,1,,2,3.0,10,7,4,8339.32,1993,100071.84,desconocido,True
112,31,No,non-travel,317.0,desconocido,9,3,desconocido,1,113,3,True,39.6,3,2,laboratory technician,1,desconocido,,6656.0,1,No,11,,3,part time,2,12.0,4,3.0,12,6,10,,1993,30720.0,desconocido,True
113,35,No,travel_frequently,556.3,desconocido,29,1,desconocido,1,114,4,True,69.5,2,2,manufacturing director,3,married,4492.84,11681.39,1,Desconocido,17,3.0,3,full time,0,10.0,2,2.0,10,1,9,4492.84,1989,,desconocido,False
114,52,No,travel_rarely,1288.7,desconocido,8,4,life sciences,1,115,2,True,161.1,2,3,research director,2,married,10408.33,27061.67,5,No,16,3.0,4,full time,2,16.0,5,1.0,10,4,7,10408.33,1972,124900.0,desconocido,True
